krr_sigma,krr_lambda,xgb_learning_rate,xgb_max_depth,xgb_n_estimators,meta_coef_krr,meta_coef_xgb,meta_intercept
163.84,1e-05,0.1,5,200,0.37117517819154244,0.6058232593855715,-0.0017330911119797232
20.48,0.001,0.1,3,200,0.35877251412148586,0.6140770933721308,0.015730733101642413
327.68,0.001,0.1,5,200,0.20289519909043746,0.7567904895254588,0.022069020205963574
5.12,0.001,0.1,3,200,0.41206293514681525,0.6068782976293831,-0.014133227148068639
10.24,0.001,0.1,3,200,0.3187082693947121,0.6959207953298967,-0.006968520394814437
5.12,0.001,0.1,3,200,0.3960729893760105,0.6114130357054233,0.005558180832072157
10.24,0.001,0.1,5,200,0.315867971329298,0.6273909968726616,0.043561976698181626
327.68,1e-05,0.1,3,200,0.3717824061457714,0.6146596740562453,0.00128077558110673
10.24,1e-11,0.1,3,200,0.4510681413472314,0.5079190521024776,0.013745524686541999
20.48,0.001,0.1,3,200,0.020355693917900063,0.9987186202782308,-0.04079179821548007
20.48,0.001,0.1,3,200,0.35766853327775455,0.6546688674545047,-0.012228195847959977
20.48,0.001,0.1,5,200,0.39428386630909407,0.6239745106773316,-0.00940702643768887
5.12,0.001,0.1,3,200,0.6707183643288758,0.3359477879593046,-0.01148185260607748
10.24,1e-05,0.1,3,100,0.5184120893649287,0.5117106275805055,-0.03588972160425774
10.24,0.001,0.1,3,200,0.47683487333800467,0.429194399508207,0.06294360807888488
40.96,0.001,0.1,5,200,0.1707897678910519,0.8617044088387839,-0.014162950176310418
10.24,0.001,0.1,3,200,0.41282320076729306,0.5808562714572492,0.0168391691886981
10.24,0.001,0.1,5,200,0.44634530013678797,0.5207651239398609,0.032762264423272125
5.12,1e-05,0.1,3,200,0.8123628648649551,0.23378615313535717,-0.035537249775916435
40.96,0.001,0.1,3,200,0.4149768518378815,0.6271942569599555,-0.03002502115627259
327.68,1e-05,0.1,3,200,0.47232203934489003,0.4920385821355214,0.02732386543389742
20.48,0.001,0.1,5,200,0.757152430990684,0.21029005967729583,0.026382459605819197
327.68,0.001,0.1,3,200,0.119921530600155,0.9042283152094376,-0.029201542640805878
20.48,0.001,0.1,5,200,0.9879045929529306,0.04208068991020715,0.001330263987915803
163.84,0.001,0.1,3,100,0.3526611272404212,0.6553576249957962,0.0046950044893496745
20.48,0.001,0.1,3,200,0.37154754349625835,0.6423849206731408,-0.016585002209806743
10.24,0.001,0.1,5,200,0.3542698933489547,0.6879646074077214,-0.02364850246536565
40.96,0.001,0.1,3,200,0.3372532083556579,0.6611739564392121,-0.021092572023176492
5.12,1e-11,0.1,3,200,0.3925779886958765,0.5852466498812552,0.010391489819163713
20.48,0.001,0.1,5,100,0.6896826435267305,0.4085405711876543,-0.057289371508766895
5.12,0.001,0.1,3,200,0.4011274167951337,0.6483500991053952,-0.031794808591260604
