krr_sigma,krr_lambda,xgb_learning_rate,xgb_max_depth,xgb_n_estimators,meta_coef_krr,meta_coef_xgb,meta_intercept
10.24,0.001,0.1,5,200,0.0791235505324108,0.8474429712689894,0.04584714039740012
81.92,0.001,0.1,5,200,0.36158957239344813,0.693954255353586,-0.016467668089441334
40.96,0.001,0.1,5,200,0.4379297867734063,0.5714668504647393,-0.0027923133863710925
163.84,1e-05,0.1,3,200,0.4775203064947376,0.50836229420352,0.020578931468671735
2.56,0.001,0.1,3,200,0.2831797578777461,0.724443703835004,0.0033777864823566484
81.92,0.001,0.1,3,200,0.32622410142363667,0.6961880191342672,-0.016862443656336157
20.48,0.001,0.1,3,200,-0.19529857229841208,1.2406448594828996,-0.05027344006500556
81.92,0.001,0.1,5,200,0.22806900729372065,0.7676663253793639,-0.026825919917922603
20.48,0.001,0.1,3,200,0.3360371308982887,0.5936294828127775,0.04986030861589208
40.96,0.001,0.1,3,200,0.41808057815765487,0.6218034919494728,-0.0171203521474681
5.12,0.001,0.1,5,200,0.24417899132593462,0.7897144365895075,-0.02898748303823684
20.48,0.001,0.1,3,200,0.37780320775358983,0.5960375642426055,0.025834056680403616
40.96,0.001,0.1,3,100,0.6520967096846148,0.32162962165741293,0.01843727663684558
2621.44,1e-07,0.1,5,200,0.5284894936365471,0.3978357510039268,0.05108635659007066
81.92,0.001,0.1,3,200,-0.01729677227645163,1.0621539522134589,-0.019101964338118282
5.12,0.1,0.1,5,200,0.36315516620702826,0.7033744302463838,-0.04626885596394881
655.36,1e-05,0.1,3,200,0.1384890363408682,0.878384506258894,-0.026505086572516046
5.12,0.001,0.1,3,200,0.6913778581205152,0.2735857026308976,0.04016931045846395
81.92,0.001,0.1,3,200,-0.03102895956781313,1.0686247130724769,-0.028393504140393877
20.48,0.001,0.1,5,200,0.6075988410831324,0.4033549788727226,-0.013041073901355893
40.96,0.001,0.1,3,200,1.293263873126,-0.25674975987373333,-0.02967091656716203
2.56,0.001,0.1,5,100,0.26237255193997644,0.7709011966822468,-0.0358783876620532
2621.44,1e-07,0.1,3,200,-0.38633551549897255,1.3750494058924438,-0.011942462052938807
2.56,0.001,0.1,3,200,0.6706563284629595,0.3907191248956781,-0.03505135744629728
40.96,0.001,0.1,5,200,0.4095522935039134,0.5261336948345533,0.04739502358652348
10.24,0.001,0.1,5,200,0.6868933300978117,0.3381557575079453,-0.021475910056418357
20.48,0.001,0.1,3,200,0.3725297805091122,0.6386572090624211,0.004582356214773986
20.48,0.001,0.1,3,200,0.3248069437826615,0.6229918715279846,0.02823494636928159
20.48,0.001,0.1,5,200,0.2404137267087492,0.7592105176861733,-0.005599109444357264
40.96,0.001,0.1,5,100,0.47418183408586523,0.5635257111038455,-0.02442883550129127
20.48,0.001,0.1,3,200,0.14825477542904963,0.8985265549860153,-0.045838345530710756
40.96,0.001,0.1,5,200,0.2790583177165719,0.6814036252998196,0.02005378922809875
20.48,0.001,0.1,5,200,0.4152853824590696,0.5677974425286075,0.0373860308820243
163.84,1e-05,0.1,5,100,0.277110201173849,0.7509509832756701,-0.021738819204258797
40.96,0.001,0.1,3,200,0.20526005032092715,0.8330109919460038,-0.03281359390583838
40.96,0.001,0.1,3,200,0.6344533133829724,0.38997978969174907,-0.008077645966704461
20.48,0.001,0.1,5,200,0.5996542079114022,0.3565395277118793,0.011305527526960901
20.48,0.001,0.1,5,200,0.5274463234850945,0.4880785098755931,-0.018373156578992744
40.96,0.001,0.1,5,200,0.7152505606071471,0.3290561532879046,-0.039511956741159704
40.96,0.001,0.1,3,200,0.4334717163847119,0.6025522870728648,-0.015747109159597206
81.92,0.001,0.1,5,200,0.5725998233376339,0.4488681225979489,-0.009919268146438953
20.48,0.001,0.1,3,200,0.9941382625842369,-0.043738222408531494,0.05490097678816552
20.48,0.001,0.1,5,200,0.4230008325937848,0.5928263560619156,-0.007031375909423154
20.48,0.001,0.1,3,200,0.43270614688968456,0.5411078826751036,0.016089373064376744
20.48,0.001,0.1,3,200,0.46207058823277136,0.5862542356574596,-0.04699525210602318
5.12,0.001,0.1,3,200,0.5752199780168508,0.42069876343276946,0.007665037432130095
81.92,0.001,0.1,5,100,0.41897219548705245,0.5498969379250694,0.024838582143621224
40.96,0.001,0.1,3,200,0.7189887006814404,0.32698095879228856,-0.029979081197032187
2.56,0.001,0.1,3,200,0.11663029984550502,0.8322002525935389,0.048071057202833334
2.56,0.001,0.1,5,100,0.3489309863120467,0.679283718496303,-0.025162704239105826
40.96,0.001,0.1,3,200,0.46114053137426725,0.6010428019382181,-0.04590946061618906
40.96,0.001,0.1,3,200,0.6151944786876314,0.42305523289911806,-0.03386324066455482
20.48,0.001,0.1,5,200,0.5291971094419705,0.45994062649578815,0.01702615669936658
10.24,0.001,0.1,5,200,0.41556022441246576,0.6139429511109611,-0.017038833960986266
40.96,0.001,0.1,3,200,0.6955965829370275,0.3275376871336651,-0.032865702077429115
